time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-06T03:54:22.600Z,57.622,0.039,196.26,4.7,mb,,90,3.578,0.53,us,us2000je0l,2019-02-06T04:25:51.040Z,"145km SW of L'Esperance Rock, New Zealand",earthquake,10.1,5.8,0.134,17,reviewed,us,us
2019-02-08T00:39:18.340Z,52.3975,0.4563,81.31,2.6,ml,,139,0.736,0.6,us,us2000jf5f,2019-02-09T02:52:22.040Z,"76km NE of Semisopochnoi Island, Alaska",earthquake,14.8,21.1,,,reviewed,us,ak
2019-02-03T06:11:56.130Z,56.0621,0.485,35,4.9,mb,,164,4.027,0.82,us,us2000jcn9,2019-02-03T07:21:01.040Z,"283km SSW of L'Esperance Rock, New Zealand",earthquake,6.7,1.9,0.114,24,reviewed,us,us
2019-02-05T04:02:44.253Z,51.5971,0.6725,105.4,2.5,ml,,,,0.46,ak,ak0191nlqrmy,2019-02-05T19:21:11.761Z,"40km NNW of Amatignak Island, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2019-02-07T17:28:18.290Z,72.7029,1.2356,534.9,4.2,mb,,108,3.069,0.43,us,us2000jeul,2019-02-07T20:37:26.040Z,"220km ESE of Lambasa, Fiji",earthquake,21.6,9.4,0.088,36,reviewed,us,us
2019-02-05T10:32:45.680Z,51.9988,1.3786,258.45,4.1,mb,,243,0.921,0.59,us,us2000jdk8,2019-02-05T12:18:53.040Z,"35km WNW of Tanaga Volcano, Alaska",earthquake,12.5,12.6,0.075,48,reviewed,us,us
2019-02-09T23:01:16.190Z,75.0993,1.544,360.3,4.8,mb,,36,0.672,1.11,us,us2000jfse,2019-02-09T23:26:34.040Z,"73km SSW of Sigave, Wallis and Futuna",earthquake,7.9,5.1,0.039,202,reviewed,us,us
2019-02-05T19:06:57.526Z,51.6663,1.5958,20,1.9,ml,,,,0.54,ak,ak0191nup35p,2019-02-05T19:48:41.774Z,"30km SW of Tanaga Volcano, Alaska",earthquake,,0.9,,,reviewed,ak,ak
2019-02-09T15:03:43.380Z,69.2859,1.7853,561.06,4.9,mb,,93,4.599,0.67,us,us2000jfp2,2019-02-09T15:20:10.040Z,"51km E of Ndoi Island, Fiji",earthquake,13.6,9.4,0.067,70,reviewed,us,us
2019-02-04T15:19:43.170Z,71.8356,2.1382,623.02,4.6,mb,,75,3.843,1.32,us,us2000jd5j,2019-02-04T17:25:32.040Z,"288km NNE of Ndoi Island, Fiji",earthquake,13.8,6.9,0.036,233,reviewed,us,us
2019-02-06T13:47:10.320Z,66.9214,3.0583,171.92,4.9,mb,,120,6.204,1.06,us,us2000je6c,2019-02-07T09:11:33.040Z,"274km SW of Vaini, Tonga",earthquake,11.3,7.9,0.082,47,reviewed,us,us
2019-02-04T10:38:08.040Z,65.3901,3.8412,55.14,5.3,mb,,69,8.706,1.06,us,us2000jd3d,2019-02-04T11:04:15.040Z,South of the Fiji Islands,earthquake,12.1,4.8,0.037,244,reviewed,us,us
2019-02-05T01:56:38.210Z,51.6726,4.1882,46.1,3.6,ml,,,,0.66,ak,ak0191nka0hr,2019-02-05T04:11:37.803Z,"62km ESE of Adak, Alaska",earthquake,,1.4,,,reviewed,ak,ak
2019-02-06T21:50:56.160Z,51.935,8.4639,40.33,4.4,mb,,140,1.664,1.32,us,us2000jeg9,2019-02-06T23:13:35.215Z,"64km SSW of Amukta Island, Alaska",earthquake,8.4,7.4,0.053,103,reviewed,us,us
2019-02-09T14:18:33.810Z,50.2112,9.7376,10,4.1,mb,,140,3.177,1.35,us,us2000jfnz,2019-02-09T22:11:23.163Z,"262km SSE of Amukta Island, Alaska",earthquake,11,2,0.087,36,reviewed,us,us
2019-02-08T12:04:27.599Z,51.9097,9.9578,20,3.3,ml,,,,1.09,ak,ak0191sp4p62,2019-02-08T17:19:16.065Z,"91km SSE of Yunaska Island, Alaska",earthquake,,0,,,reviewed,ak,ak
